Numéro_Commande,ID_Client,Date_Commande,Statut_Commande,Prix_Produit,Frais_Livraison,Nom_Produit,Catégorie_Produit,Pays
CMD100017,CLT2184,2022-01-01 17:00:00,en attente,420.34,2.28,Clavier Mécanique,Accessoires,France
CMD100018,CLT5555,2022-01-01 18:00:00,expédiée,361.15,24.83,Casque Bluetooth,Informatique,France
CMD100019,CLT4385,2022-01-01 19:00:00,expédiée,448.98,7.98,Webcam HD,Audio/vidéo,France
CMD100020,CLT7396,2022-01-01 20:00:00,livrée,79.45,26.68,Souris Gaming,Informatique,Suisse
CMD100021,CLT9666,2022-01-01 21:00:00,livrée,196.93,17.9,Smartphone 5G,Informatique,France
CMD100022,CLT3558,2022-01-01 22:00:00,en attente,234.73,17.03,Clavier Mécanique,Informatique,Belgique
CMD100023,CLT8849,2022-01-01 23:00:00,livrée,152.34,4.88,Souris Gaming,Informatique,Belgique
CMD100024,CLT3047,2022-01-02 00:00:00,livrée,364.06,2.09,Smartphone 5G,Informatique,France
CMD100025,CLT3747,2022-01-02 01:00:00,livrée,456.66,16.58,Clavier Mécanique,Audio/vidéo,France
CMD100026,CLT1189,2022-01-02 02:00:00,livrée,209.18,14.04,Smartphone 5G,Téléphonie,France
CMD100027,CLT3734,2022-01-02 03:00:00,livrée,471.06,3.59,PC Portable,Téléphonie,France
CMD100028,CLT4005,2022-01-02 04:00:00,livrée,260.8,25.07,Smartphone 5G,Accessoires,Canada
CMD100029,CLT5658,2022-01-02 05:00:00,expédiée,263.65,12.52,PC Portable,Audio/vidéo,France
CMD100030,CLT2899,2022-01-02 06:00:00,livrée,302.11,7.81,PC Portable,Informatique,France
CMD100031,CLT8734,2022-01-02 07:00:00,expédiée,137.82,23.65,Webcam HD,Audio/vidéo,France
CMD100032,CLT2267,2022-01-02 08:00:00,livrée,194.76,27.39,Smartphone 5G,Téléphonie,Belgique
CMD100033,CLT2528,2022-01-02 09:00:00,en attente,278.85,9.18,PC Portable,Informatique,France
CMD100034,CLT4556,2022-01-02 10:00:00,livrée,471.28,23.28,Webcam HD,Audio/vidéo,Canada
CMD100035,CLT4890,2022-01-02 11:00:00,livrée,323.13,19.58,Clavier Mécanique,Accessoires,France
CMD100036,CLT9838,2022-01-02 12:00:00,livrée,169.89,29.69,PC Portable,Téléphonie,France
CMD100037,CLT6393,2022-01-02 13:00:00,livrée,10.18,6.12,Casque Bluetooth,Informatique,France
CMD100038,CLT9792,2022-01-02 14:00:00,livrée,490.92,28.82,Clavier Mécanique,Informatique,France
CMD100039,CLT9433,2022-01-02 15:00:00,livrée,249.03,9.46,Webcam HD,Informatique,Belgique
CMD100040,CLT8513,2022-01-02 16:00:00,livrée,469.56,12.36,Clavier Mécanique,Informatique,France
CMD100041,CLT3612,2022-01-02 17:00:00,livrée,276.93,10.76,Clavier Mécanique,Informatique,France
CMD100042,CLT8041,2022-01-02 18:00:00,expédiée,304.71,8.05,Casque Bluetooth,Informatique,France
CMD100043,CLT7235,2022-01-02 19:00:00,expédiée,357.4,20.8,Casque Bluetooth,Audio/vidéo,France
CMD100044,CLT6486,2022-01-02 20:00:00,livrée,163.88,17.67,Casque Bluetooth,Accessoires,France
CMD100045,CLT8099,2022-01-02 21:00:00,livrée,351.0,9.17,Casque Bluetooth,Audio/vidéo,Canada
CMD100046,CLT1775,2022-01-02 22:00:00,expédiée,265.76,3.97,Webcam HD,Audio/vidéo,Canada
CMD100047,CLT9226,2022-01-02 23:00:00,livrée,337.88,9.52,Casque Bluetooth,Informatique,France
CMD100048,CLT4152,2022-01-03 00:00:00,livrée,418.74,11.44,Webcam HD,Informatique,France
CMD100049,CLT2585,2022-01-03 01:00:00,livrée,96.19,11.42,Webcam HD,Audio/vidéo,Belgique
CMD100050,CLT4943,2022-01-03 02:00:00,livrée,308.71,10.72,Souris Gaming,Téléphonie,France
CMD100051,CLT8555,2022-01-03 03:00:00,livrée,30.8,1.46,Souris Gaming,Informatique,France
CMD100052,CLT4073,2022-01-03 04:00:00,livrée,55.55,13.92,Casque Bluetooth,Informatique,France
CMD100053,CLT2021,2022-01-03 05:00:00,livrée,338.92,25.09,Webcam HD,Téléphonie,France
CMD100054,CLT4843,2022-01-03 06:00:00,livrée,40.11,5.41,Clavier Mécanique,Audio/vidéo,France
CMD100055,CLT8989,2022-01-03 07:00:00,en attente,299.7,4.37,PC Portable,Téléphonie,France
CMD100056,CLT7873,2022-01-03 08:00:00,livrée,113.91,14.16,PC Portable,Informatique,Canada
CMD100057,CLT6675,2022-01-03 09:00:00,livrée,155.52,11.12,Souris Gaming,Accessoires,France
CMD100058,CLT1161,2022-01-03 10:00:00,livrée,69.17,16.84,Casque Bluetooth,Téléphonie,France
CMD100059,CLT5297,2022-01-03 11:00:00,livrée,128.09,28.41,Smartphone 5G,Téléphonie,France
CMD100060,CLT1995,2022-01-03 12:00:00,livrée,411.54,22.83,PC Portable,Informatique,France
CMD100061,CLT8629,2022-01-03 13:00:00,livrée,321.24,20.61,Webcam HD,Téléphonie,France
CMD100062,CLT2016,2022-01-03 14:00:00,livrée,475.13,12.48,Webcam HD,Informatique,France
CMD100063,CLT8869,2022-01-03 15:00:00,livrée,29.13,8.62,PC Portable,Accessoires,France
CMD100064,CLT7439,2022-01-03 16:00:00,livrée,397.24,16.21,Clavier Mécanique,Accessoires,France
CMD100065,CLT8892,2022-01-03 17:00:00,livrée,351.04,26.56,PC Portable,Audio/vidéo,France
CMD100066,CLT7863,2022-01-03 18:00:00,expédiée,134.14,26.3,Souris Gaming,Informatique,France
CMD100067,CLT8916,2022-01-03 19:00:00,livrée,365.94,13.37,Casque Bluetooth,Accessoires,France
CMD100068,CLT9529,2022-01-03 20:00:00,livrée,359.69,7.39,Casque Bluetooth,Informatique,France
CMD100069,CLT1878,2022-01-03 21:00:00,livrée,232.38,6.76,Webcam HD,Téléphonie,Canada
CMD100070,CLT5887,2022-01-03 22:00:00,livrée,345.88,1.02,PC Portable,Téléphonie,France
CMD100071,CLT5859,2022-01-03 23:00:00,en attente,225.07,25.28,Smartphone 5G,Informatique,France
CMD100072,CLT7331,2022-01-04 00:00:00,livrée,171.1,7.95,Souris Gaming,Informatique,France
CMD100073,CLT9571,2022-01-04 01:00:00,livrée,235.91,10.77,Webcam HD,Téléphonie,France
CMD100074,CLT9684,2022-01-04 02:00:00,livrée,448.09,24.28,PC Portable,Informatique,France
CMD100075,CLT8208,2022-01-04 03:00:00,livrée,195.37,3.6,Souris Gaming,Téléphonie,France
CMD100076,CLT6276,2022-01-04 04:00:00,livrée,204.83,13.84,Smartphone 5G,Audio/vidéo,France
CMD100077,CLT3062,2022-01-04 05:00:00,livrée,306.16,3.67,Webcam HD,Audio/vidéo,France
CMD100078,CLT1064,2022-01-04 06:00:00,livrée,377.73,13.26,Souris Gaming,Audio/vidéo,Canada
CMD100079,CLT9006,2022-01-04 07:00:00,annulée,368.64,1.41,Webcam HD,Informatique,Belgique
CMD100080,CLT3568,2022-01-04 08:00:00,livrée,14.8,15.53,Souris Gaming,Téléphonie,France
CMD100081,CLT6463,2022-01-04 09:00:00,livrée,345.27,23.87,Souris Gaming,Accessoires,France
CMD100082,CLT3027,2022-01-04 10:00:00,annulée,228.02,20.29,Webcam HD,Accessoires,France
CMD100083,CLT3695,2022-01-04 11:00:00,expédiée,264.42,15.28,Casque Bluetooth,Téléphonie,France
CMD100084,CLT6258,2022-01-04 12:00:00,livrée,283.02,24.86,Smartphone 5G,Téléphonie,France
CMD100085,CLT6618,2022-01-04 13:00:00,livrée,367.2,6.83,Webcam HD,Téléphonie,France
CMD100086,CLT7736,2022-01-04 14:00:00,expédiée,416.51,24.92,Casque Bluetooth,Téléphonie,France
CMD100087,CLT1391,2022-01-04 15:00:00,livrée,324.9,8.29,Clavier Mécanique,Téléphonie,Belgique
CMD100088,CLT6892,2022-01-04 16:00:00,livrée,284.13,10.87,PC Portable,Accessoires,France
CMD100089,CLT4561,2022-01-04 17:00:00,expédiée,190.02,3.85,Webcam HD,Audio/vidéo,France
CMD100090,CLT7184,2022-01-04 18:00:00,livrée,73.25,3.05,Casque Bluetooth,Téléphonie,France
CMD100091,CLT4099,2022-01-04 19:00:00,livrée,479.5,27.96,Webcam HD,Informatique,France
CMD100092,CLT7278,2022-01-04 20:00:00,livrée,233.61,5.7,Webcam HD,Audio/vidéo,France
CMD100093,CLT9392,2022-01-04 21:00:00,livrée,285.28,10.0,Webcam HD,Accessoires,France
CMD100094,CLT4104,2022-01-04 22:00:00,expédiée,376.78,15.87,Souris Gaming,Téléphonie,France
CMD100095,CLT8215,2022-01-04 23:00:00,livrée,38.86,10.44,Clavier Mécanique,Informatique,France
CMD100096,CLT3454,2022-01-05 00:00:00,expédiée,428.23,26.1,Smartphone 5G,Accessoires,France
CMD100097,CLT9996,2022-01-05 01:00:00,livrée,399.53,27.02,Smartphone 5G,Audio/vidéo,Belgique
CMD100098,CLT3731,2022-01-05 02:00:00,livrée,388.34,9.78,Webcam HD,Audio/vidéo,France
CMD100099,CLT9154,2022-01-05 03:00:00,livrée,15.88,2.76,Casque Bluetooth,Informatique,France
CMD100100,CLT6056,2022-01-05 04:00:00,expédiée,265.63,6.3,Webcam HD,Téléphonie,France
CMD100101,CLT9110,2022-01-05 05:00:00,en attente,31.86,14.23,Souris Gaming,Informatique,Canada
CMD100102,CLT4840,2022-01-05 06:00:00,livrée,277.68,8.65,Souris Gaming,Informatique,France
CMD100103,CLT2028,2022-01-05 07:00:00,livrée,360.63,13.6,Webcam HD,Accessoires,Suisse
CMD100104,CLT8385,2022-01-05 08:00:00,livrée,65.32,22.76,Smartphone 5G,Informatique,Belgique
CMD100105,CLT1502,2022-01-05 09:00:00,expédiée,348.97,12.62,Souris Gaming,Informatique,France
CMD100106,CLT7910,2022-01-05 10:00:00,livrée,227.52,5.91,PC Portable,Audio/vidéo,France
CMD100107,CLT7938,2022-01-05 11:00:00,livrée,406.72,10.74,Casque Bluetooth,Accessoires,France
CMD100108,CLT5488,2022-01-05 12:00:00,livrée,269.13,22.29,Casque Bluetooth,Téléphonie,France
CMD100109,CLT1206,2022-01-05 13:00:00,livrée,171.38,12.72,Souris Gaming,Audio/vidéo,France
CMD100110,CLT6134,2022-01-05 14:00:00,livrée,169.34,7.49,Smartphone 5G,Informatique,France
CMD100111,CLT6977,2022-01-05 15:00:00,livrée,449.26,12.82,Webcam HD,Téléphonie,France
CMD100112,CLT8721,2022-01-05 16:00:00,expédiée,229.17,13.64,PC Portable,Accessoires,France
CMD100113,CLT8035,2022-01-05 17:00:00,livrée,205.85,8.89,PC Portable,Audio/vidéo,France
CMD100114,CLT2484,2022-01-05 18:00:00,livrée,24.74,29.87,Webcam HD,Téléphonie,France
CMD100115,CLT8858,2022-01-05 19:00:00,livrée,185.34,23.03,PC Portable,Informatique,Suisse
CMD100116,CLT1863,2022-01-05 20:00:00,livrée,425.57,20.77,Clavier Mécanique,Informatique,France
CMD100117,CLT3790,2022-01-05 21:00:00,expédiée,381.69,25.65,Souris Gaming,Téléphonie,Canada
CMD100118,CLT8408,2022-01-05 22:00:00,livrée,114.35,19.99,PC Portable,Audio/vidéo,France
CMD100119,CLT9755,2022-01-05 23:00:00,livrée,209.46,23.73,Souris Gaming,Téléphonie,France
CMD100120,CLT6116,2022-01-06 00:00:00,livrée,102.31,12.38,Smartphone 5G,Informatique,Canada
CMD100121,CLT7019,2022-01-06 01:00:00,livrée,477.34,15.01,Smartphone 5G,Accessoires,Belgique
CMD100122,CLT2757,2022-01-06 02:00:00,livrée,301.07,1.41,Webcam HD,Audio/vidéo,France
CMD100123,CLT8574,2022-01-06 03:00:00,livrée,378.41,8.42,Smartphone 5G,Informatique,France
CMD100124,CLT7374,2022-01-06 04:00:00,livrée,358.34,11.04,Clavier Mécanique,Informatique,France
CMD100125,CLT7892,2022-01-06 05:00:00,expédiée,437.48,18.76,Smartphone 5G,Téléphonie,France
CMD100126,CLT2678,2022-01-06 06:00:00,livrée,474.92,13.93,Souris Gaming,Informatique,Canada
CMD100127,CLT4242,2022-01-06 07:00:00,livrée,21.06,18.24,Casque Bluetooth,Audio/vidéo,France
CMD100128,CLT5636,2022-01-06 08:00:00,expédiée,487.77,21.4,Casque Bluetooth,Téléphonie,France
CMD100129,CLT2059,2022-01-06 09:00:00,livrée,435.92,1.28,Souris Gaming,Accessoires,France
CMD100130,CLT7668,2022-01-06 10:00:00,livrée,194.56,7.75,Casque Bluetooth,Informatique,France
CMD100131,CLT4157,2022-01-06 11:00:00,livrée,419.35,5.13,PC Portable,Audio/vidéo,France
CMD100132,CLT6915,2022-01-06 12:00:00,livrée,369.6,5.62,Casque Bluetooth,Audio/vidéo,France
CMD100133,CLT3693,2022-01-06 13:00:00,livrée,397.59,15.09,Clavier Mécanique,Accessoires,France
CMD100134,CLT4627,2022-01-06 14:00:00,livrée,114.24,22.2,Smartphone 5G,Audio/vidéo,France
CMD100135,CLT6450,2022-01-06 15:00:00,expédiée,326.04,8.18,Casque Bluetooth,Audio/vidéo,France
CMD100136,CLT2663,2022-01-06 16:00:00,livrée,17.83,24.73,Casque Bluetooth,Accessoires,Suisse
CMD100137,CLT6592,2022-01-06 17:00:00,livrée,424.87,26.77,Webcam HD,Informatique,Suisse
CMD100138,CLT8392,2022-01-06 18:00:00,livrée,475.77,10.52,Clavier Mécanique,Audio/vidéo,France
CMD100139,CLT2306,2022-01-06 19:00:00,livrée,332.75,20.44,Webcam HD,Téléphonie,France
CMD100140,CLT7776,2022-01-06 20:00:00,livrée,258.77,3.51,Clavier Mécanique,Audio/vidéo,France
CMD100141,CLT6864,2022-01-06 21:00:00,livrée,364.24,22.32,Casque Bluetooth,Téléphonie,Canada
CMD100142,CLT8526,2022-01-06 22:00:00,livrée,166.55,4.95,PC Portable,Audio/vidéo,France
CMD100143,CLT9901,2022-01-06 23:00:00,expédiée,315.06,20.62,Casque Bluetooth,Informatique,Suisse
CMD100144,CLT6575,2022-01-07 00:00:00,livrée,360.89,12.66,PC Portable,Audio/vidéo,France
CMD100145,CLT6530,2022-01-07 01:00:00,expédiée,75.63,27.85,Webcam HD,Téléphonie,Canada
CMD100146,CLT5413,2022-01-07 02:00:00,expédiée,74.33,13.93,Smartphone 5G,Audio/vidéo,France
CMD100147,CLT4748,2022-01-07 03:00:00,livrée,359.49,0.93,Souris Gaming,Téléphonie,France
CMD100148,CLT1663,2022-01-07 04:00:00,expédiée,218.73,14.42,Smartphone 5G,Accessoires,France
CMD100149,CLT2998,2022-01-07 05:00:00,expédiée,445.15,23.86,Casque Bluetooth,Audio/vidéo,Canada
CMD100150,CLT8994,2022-01-07 06:00:00,livrée,159.41,19.41,Casque Bluetooth,Audio/vidéo,France
CMD100151,CLT2495,2022-01-07 07:00:00,annulée,26.0,28.99,PC Portable,Téléphonie,France
CMD100152,CLT4304,2022-01-07 08:00:00,livrée,326.69,25.3,Clavier Mécanique,Téléphonie,Canada
CMD100153,CLT4763,2022-01-07 09:00:00,livrée,343.7,15.8,Webcam HD,Informatique,France
CMD100154,CLT6232,2022-01-07 10:00:00,expédiée,279.03,6.2,Webcam HD,Accessoires,France
CMD100155,CLT2853,2022-01-07 11:00:00,livrée,343.25,0.11,Webcam HD,Téléphonie,France
CMD100156,CLT7585,2022-01-07 12:00:00,livrée,264.26,29.42,PC Portable,Informatique,France
CMD100157,CLT2291,2022-01-07 13:00:00,livrée,347.85,28.15,Clavier Mécanique,Téléphonie,France
CMD100158,CLT4581,2022-01-07 14:00:00,expédiée,26.75,8.22,Clavier Mécanique,Accessoires,Canada
CMD100159,CLT8554,2022-01-07 15:00:00,expédiée,187.36,19.15,Clavier Mécanique,Accessoires,France
CMD100160,CLT8280,2022-01-07 16:00:00,livrée,109.35,21.88,Clavier Mécanique,Accessoires,France
CMD100161,CLT2636,2022-01-07 17:00:00,en attente,54.17,17.34,Casque Bluetooth,Accessoires,France
CMD100162,CLT4696,2022-01-07 18:00:00,livrée,120.88,25.29,Souris Gaming,Audio/vidéo,France
CMD100163,CLT1698,2022-01-07 19:00:00,livrée,99.7,2.33,Webcam HD,Accessoires,France
CMD100164,CLT5737,2022-01-07 20:00:00,livrée,486.7,26.89,Souris Gaming,Accessoires,France
CMD100165,CLT1854,2022-01-07 21:00:00,expédiée,146.84,11.76,Smartphone 5G,Informatique,France
CMD100166,CLT9164,2022-01-07 22:00:00,livrée,119.32,14.42,Smartphone 5G,Accessoires,France
CMD100167,CLT6855,2022-01-07 23:00:00,livrée,418.26,13.34,Smartphone 5G,Téléphonie,France
CMD100168,CLT8392,2022-01-08 00:00:00,expédiée,212.46,15.94,PC Portable,Téléphonie,France
CMD100169,CLT7528,2022-01-08 01:00:00,en attente,213.63,17.95,Smartphone 5G,Téléphonie,France
CMD100170,CLT6249,2022-01-08 02:00:00,livrée,224.58,21.31,Webcam HD,Audio/vidéo,France
CMD100171,CLT6172,2022-01-08 03:00:00,livrée,211.18,15.75,Smartphone 5G,Téléphonie,Suisse
CMD100172,CLT2707,2022-01-08 04:00:00,annulée,166.65,20.54,Smartphone 5G,Accessoires,France
CMD100173,CLT6791,2022-01-08 05:00:00,expédiée,146.74,10.15,Casque Bluetooth,Audio/vidéo,France
CMD100174,CLT6535,2022-01-08 06:00:00,livrée,441.57,28.1,Smartphone 5G,Accessoires,France
CMD100175,CLT5931,2022-01-08 07:00:00,expédiée,85.05,1.94,Souris Gaming,Informatique,France
CMD100176,CLT4510,2022-01-08 08:00:00,expédiée,94.63,16.37,Casque Bluetooth,Accessoires,France
CMD100177,CLT1202,2022-01-08 09:00:00,en attente,288.0,2.62,Clavier Mécanique,Téléphonie,France
CMD100178,CLT5218,2022-01-08 10:00:00,expédiée,175.11,13.28,PC Portable,Informatique,France
CMD100179,CLT9958,2022-01-08 11:00:00,livrée,213.66,7.73,Casque Bluetooth,Informatique,France
CMD100180,CLT5389,2022-01-08 12:00:00,livrée,404.24,28.11,Casque Bluetooth,Informatique,Canada
CMD100181,CLT3327,2022-01-08 13:00:00,livrée,452.3,0.39,Souris Gaming,Informatique,Canada
CMD100182,CLT9004,2022-01-08 14:00:00,livrée,396.32,11.74,Webcam HD,Audio/vidéo,France
CMD100183,CLT3931,2022-01-08 15:00:00,expédiée,121.29,23.46,Webcam HD,Accessoires,France
CMD100184,CLT8777,2022-01-08 16:00:00,en attente,490.09,5.65,Smartphone 5G,Informatique,France
CMD100185,CLT1197,2022-01-08 17:00:00,livrée,184.77,24.47,Clavier Mécanique,Audio/vidéo,France
CMD100186,CLT8125,2022-01-08 18:00:00,livrée,88.69,25.79,Souris Gaming,Audio/vidéo,France
CMD100187,CLT2930,2022-01-08 19:00:00,livrée,252.25,21.24,Souris Gaming,Audio/vidéo,France
CMD100188,CLT7287,2022-01-08 20:00:00,livrée,364.02,6.27,Casque Bluetooth,Accessoires,France
CMD100189,CLT9800,2022-01-08 21:00:00,livrée,46.22,8.16,Clavier Mécanique,Informatique,France
CMD100190,CLT5282,2022-01-08 22:00:00,livrée,318.97,5.01,Souris Gaming,Accessoires,France
CMD100191,CLT3511,2022-01-08 23:00:00,livrée,429.75,5.52,Webcam HD,Audio/vidéo,France
CMD100192,CLT1659,2022-01-09 00:00:00,livrée,134.58,1.09,PC Portable,Audio/vidéo,France
CMD100193,CLT3811,2022-01-09 01:00:00,livrée,348.1,25.72,PC Portable,Accessoires,Belgique
CMD100194,CLT8098,2022-01-09 02:00:00,expédiée,202.95,15.86,Souris Gaming,Audio/vidéo,France
CMD100195,CLT7546,2022-01-09 03:00:00,livrée,210.0,9.83,Casque Bluetooth,Audio/vidéo,France
CMD100196,CLT2986,2022-01-09 04:00:00,livrée,144.0,8.69,PC Portable,Téléphonie,Belgique
CMD100197,CLT9338,2022-01-09 05:00:00,livrée,314.07,16.34,Casque Bluetooth,Audio/vidéo,France
CMD100198,CLT3911,2022-01-09 06:00:00,livrée,183.69,9.8,Smartphone 5G,Accessoires,France
CMD100199,CLT2734,2022-01-09 07:00:00,expédiée,416.3,25.91,Smartphone 5G,Informatique,France
CMD100200,CLT2843,2022-01-09 08:00:00,livrée,481.64,6.33,Casque Bluetooth,Informatique,Suisse
CMD100201,CLT9680,2022-01-09 09:00:00,expédiée,467.87,26.47,Souris Gaming,Accessoires,Canada
CMD100202,CLT3976,2022-01-09 10:00:00,livrée,85.75,19.92,Smartphone 5G,Accessoires,France
CMD100203,CLT2959,2022-01-09 11:00:00,livrée,12.02,28.7,Webcam HD,Audio/vidéo,France
CMD100204,CLT6759,2022-01-09 12:00:00,livrée,222.04,0.45,Smartphone 5G,Accessoires,France
CMD100205,CLT7694,2022-01-09 13:00:00,expédiée,365.8,1.77,Webcam HD,Accessoires,France
CMD100206,CLT3385,2022-01-09 14:00:00,livrée,488.84,15.03,PC Portable,Audio/vidéo,France
CMD100207,CLT5736,2022-01-09 15:00:00,en attente,392.79,27.37,Souris Gaming,Téléphonie,Belgique
CMD100208,CLT2802,2022-01-09 16:00:00,livrée,292.37,21.92,Casque Bluetooth,Téléphonie,Belgique
CMD100209,CLT9155,2022-01-09 17:00:00,livrée,18.04,18.66,Smartphone 5G,Audio/vidéo,Canada
CMD100210,CLT9120,2022-01-09 18:00:00,expédiée,413.64,0.95,Souris Gaming,Téléphonie,France
CMD100211,CLT7616,2022-01-09 19:00:00,en attente,92.69,10.62,Smartphone 5G,Téléphonie,Belgique
CMD100212,CLT6534,2022-01-09 20:00:00,livrée,32.53,10.38,PC Portable,Audio/vidéo,France
CMD100213,CLT5061,2022-01-09 21:00:00,livrée,425.93,16.26,Souris Gaming,Téléphonie,France
CMD100214,CLT1262,2022-01-09 22:00:00,livrée,285.29,7.73,Clavier Mécanique,Accessoires,France
CMD100215,CLT7287,2022-01-09 23:00:00,livrée,68.63,8.01,PC Portable,Téléphonie,Belgique
CMD100216,CLT9815,2022-01-10 00:00:00,annulée,196.34,18.63,Casque Bluetooth,Téléphonie,France
CMD100217,CLT3049,2022-01-10 01:00:00,livrée,47.34,28.34,Souris Gaming,Accessoires,Suisse
CMD100218,CLT6423,2022-01-10 02:00:00,livrée,320.82,19.81,Webcam HD,Accessoires,France
CMD100219,CLT5548,2022-01-10 03:00:00,en attente,144.8,20.04,Smartphone 5G,Informatique,France
CMD100220,CLT4108,2022-01-10 04:00:00,expédiée,433.72,29.59,Webcam HD,Audio/vidéo,France
CMD100221,CLT8158,2022-01-10 05:00:00,livrée,182.11,4.6,Souris Gaming,Informatique,France
CMD100222,CLT8400,2022-01-10 06:00:00,en attente,249.84,1.02,Casque Bluetooth,Informatique,France
CMD100223,CLT4170,2022-01-10 07:00:00,livrée,36.44,22.37,Webcam HD,Téléphonie,France
CMD100224,CLT3255,2022-01-10 08:00:00,livrée,141.42,13.16,Webcam HD,Accessoires,France
CMD100225,CLT2154,2022-01-10 09:00:00,en attente,340.0,12.86,Webcam HD,Informatique,France
CMD100226,CLT5499,2022-01-10 10:00:00,livrée,369.45,6.76,Souris Gaming,Audio/vidéo,Belgique
CMD100227,CLT7295,2022-01-10 11:00:00,livrée,125.2,15.21,Smartphone 5G,Informatique,France
CMD100228,CLT7197,2022-01-10 12:00:00,livrée,254.39,13.27,Webcam HD,Téléphonie,France
CMD100229,CLT2648,2022-01-10 13:00:00,expédiée,409.68,10.36,PC Portable,Informatique,France
CMD100230,CLT6539,2022-01-10 14:00:00,livrée,193.06,13.28,PC Portable,Accessoires,France
CMD100231,CLT5199,2022-01-10 15:00:00,livrée,71.22,11.52,Smartphone 5G,Accessoires,Canada
CMD100232,CLT9445,2022-01-10 16:00:00,livrée,218.78,28.2,Clavier Mécanique,Audio/vidéo,France
CMD100233,CLT3557,2022-01-10 17:00:00,livrée,302.31,29.41,Clavier Mécanique,Informatique,France
CMD100234,CLT6592,2022-01-10 18:00:00,livrée,8.66,25.2,PC Portable,Accessoires,Canada
CMD100235,CLT1098,2022-01-10 19:00:00,expédiée,177.54,29.71,Webcam HD,Informatique,Canada
CMD100236,CLT3200,2022-01-10 20:00:00,livrée,305.68,7.97,Casque Bluetooth,Informatique,Belgique
CMD100237,CLT3961,2022-01-10 21:00:00,livrée,476.2,25.29,Souris Gaming,Accessoires,France
CMD100238,CLT5973,2022-01-10 22:00:00,livrée,207.23,12.2,Smartphone 5G,Accessoires,Suisse
CMD100239,CLT5433,2022-01-10 23:00:00,livrée,85.67,22.38,Casque Bluetooth,Téléphonie,France
CMD100240,CLT3869,2022-01-11 00:00:00,expédiée,269.44,6.04,Webcam HD,Téléphonie,France
CMD100241,CLT1956,2022-01-11 01:00:00,livrée,146.45,24.36,Souris Gaming,Audio/vidéo,France
CMD100242,CLT9352,2022-01-11 02:00:00,livrée,111.32,2.5,PC Portable,Audio/vidéo,France
CMD100243,CLT6699,2022-01-11 03:00:00,livrée,297.25,8.12,Smartphone 5G,Audio/vidéo,Canada
CMD100244,CLT7944,2022-01-11 04:00:00,livrée,458.36,24.66,Casque Bluetooth,Informatique,Belgique
CMD100245,CLT5493,2022-01-11 05:00:00,livrée,418.44,22.41,Souris Gaming,Audio/vidéo,Belgique
CMD100246,CLT5911,2022-01-11 06:00:00,expédiée,95.23,15.04,PC Portable,Accessoires,France
CMD100247,CLT4987,2022-01-11 07:00:00,livrée,384.11,20.18,PC Portable,Audio/vidéo,Canada
CMD100248,CLT7015,2022-01-11 08:00:00,expédiée,118.78,5.57,Souris Gaming,Informatique,France
CMD100249,CLT2218,2022-01-11 09:00:00,livrée,148.9,20.03,Clavier Mécanique,Téléphonie,France
CMD100250,CLT5496,2022-01-11 10:00:00,livrée,460.43,0.24,Clavier Mécanique,Informatique,France
CMD100251,CLT5735,2022-01-11 11:00:00,livrée,455.97,25.0,Souris Gaming,Accessoires,France
CMD100252,CLT5555,2022-01-11 12:00:00,expédiée,88.47,15.49,Souris Gaming,Audio/vidéo,France
